Latitude,Longitude,CurrentSpeed,FreeFlowSpeed,Confidence,Hour,Minute,DayOfWeek,Weekend,CongestionRatio
10.785070445194592,106.68331340921323,17,27,1.0,12,39,1,1,0.6296
10.7144382088356,106.73711688366167,35,35,1.0,12,41,1,1,1.0
10.777562007197462,106.7041335430398,21,31,1.0,12,54,1,1,0.6774
10.880537767027526,106.81481342866444,53,53,1.0,13,2,1,1,1.0
10.741860769464234,106.73790365482627,45,45,1.0,13,2,1,1,1.0
10.94927106740351,106.87196348224562,32,41,1.0,13,14,1,1,0.7805
10.740840166521663,106.61899246873142,30,35,1.0,13,56,1,1,0.8571
10.741860769464234,106.73790365482627,45,45,1.0,14,10,1,1,1.0
10.785070445194592,106.68331340921323,20,27,1.0,15,16,1,1,0.7407
10.78866360854368,106.69551372228901,36,41,1.0,15,24,1,1,0.878
10.785070445194592,106.68331340921323,15,28,1.0,15,54,1,1,0.5357
10.785070445194592,106.68331340921323,18,28,1.0,16,6,1,1,0.6429
10.835298215641501,106.72935479345391,32,42,0.997408,17,21,1,1,0.7619
10.745754766198267,106.65326266831877,37,43,1.0,17,27,1,1,0.8605
10.759484371982321,106.6840537511244,19,27,1.0,17,44,1,1,0.7037
10.752616652291238,106.72509685338922,39,39,1.0,18,18,1,1,1.0
10.745754766198267,106.65326266831877,42,42,1.0,18,19,1,1,1.0
10.880537767027526,106.81481342866444,53,53,1.0,18,37,1,1,1.0
10.786216596454727,106.71836665482695,40,40,1.0,18,37,1,1,1.0
10.72279213640514,106.72808623948244,24,37,0.999302,19,13,1,1,0.6486
10.786216596454727,106.71836665482695,40,40,1.0,20,56,1,1,1.0
10.835298215641501,106.72935479345391,42,42,1.0,6,15,6,0,1.0
10.817236653231737,106.63191539530457,29,35,1.0,6,16,6,0,0.8286
10.880537767027526,106.81481342866444,47,53,0.998895,6,19,6,0,0.8868
10.772727584493625,106.69804225297563,25,25,1.0,7,39,6,0,1.0
10.754895139302109,106.67839188181134,19,33,1.0,7,49,6,0,0.5758
10.741860769464234,106.73790365482627,45,45,1.0,8,52,6,0,1.0
10.94927106740351,106.87196348224562,34,42,1.0,8,56,6,0,0.8095
10.756158554057757,106.66631758181126,30,30,1.0,9,17,6,0,1.0
10.755608615763382,106.67347943578082,20,28,1.0,9,48,6,0,0.7143
10.7144382088356,106.73711688366167,24,35,1.0,10,20,6,0,0.6857
10.94927106740351,106.87196348224562,27,40,1.0,10,23,6,0,0.675
10.786216596454727,106.71836665482695,40,40,1.0,10,33,6,0,1.0
10.77847212665258,106.69389510879643,25,42,1.0,10,33,6,0,0.5952
10.754895139302109,106.67839188181134,21,33,1.0,10,46,6,0,0.6364
10.756158554057757,106.66631758181126,18,28,1.0,11,3,6,0,0.6429
10.813928881466124,106.66511432455972,21,34,0.998018,11,6,6,0,0.6176
10.785070445194592,106.68331340921323,12,26,1.0,11,44,6,0,0.4615
10.777562007197462,106.7041335430398,19,30,1.0,13,39,6,0,0.6333
10.772727584493625,106.69804225297563,14,24,0.998098,15,29,6,0,0.5833
10.94927106740351,106.87196348224562,29,42,1.0,16,5,6,0,0.6905
10.741860769464234,106.73790365482627,37,44,1.0,16,42,6,0,0.8409
10.759484371982321,106.6840537511244,15,28,1.0,16,46,6,0,0.5357
10.741860769464234,106.73790365482627,35,44,1.0,16,49,6,0,0.7955
10.72279213640514,106.72808623948244,21,37,0.997516,16,55,6,0,0.5676
10.7144382088356,106.73711688366167,22,35,1.0,19,5,6,0,0.6286
10.796057790235078,106.67492629345334,9,32,1.0,19,8,6,0,0.2813
10.78866360854368,106.69551372228901,32,41,1.0,19,39,6,0,0.7805
10.785070445194592,106.68331340921323,15,27,1.0,19,44,6,0,0.5556
10.843150534972033,106.6151343241409,24,35,1.0,19,56,6,0,0.6857
10.772727584493625,106.69804225297563,14,24,0.998732,20,13,6,0,0.5833
10.7144382088356,106.73711688366167,24,35,1.0,20,27,6,0,0.6857
10.835298215641501,106.72935479345391,36,42,0.997134,20,51,6,0,0.8571
10.72279213640514,106.72808623948244,25,37,0.998094,20,51,6,0,0.6757
10.772727584493625,106.69804225297563,11,23,0.999366,21,1,6,0,0.4783
10.880537767027526,106.81481342866444,41,53,1.0,21,6,6,0,0.7736
10.72279213640514,106.72808623948244,26,37,0.998403,21,6,6,0,0.7027
10.83886351241477,106.67566625482782,25,36,1.0,21,27,6,0,0.6944
10.785070445194592,106.68331340921323,10,27,1.0,11,32,7,1,0.3704
10.798986343749618,106.72697056646841,45,45,1.0,11,35,7,1,1.0
10.785070445194592,106.68331340921323,11,28,1.0,11,47,7,1,0.3929
10.835298215641501,106.72935479345391,32,43,0.996557,12,6,7,1,0.7442
10.72279213640514,106.72808623948244,25,36,0.995795,12,22,7,1,0.6944
10.94927106740351,106.87196348224562,26,43,1.0,13,36,7,1,0.6047
